	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
R01-001	155208621	74616113.52	-6845.648544	-812	-443	41	154	-139.2728944	-56	282	966	162.6927719	121.3742116	238.9204458	194.1289269	-0.991658684	2.964832069	37686.04028	21429	2007.440154	1307.151699	855.9787494	0.426403122	0.899048	0.04522444	0.726689087	1.112287664	57.15823312	18.52396477	8.916843005	0.696235935	0.481367953
R01-002	88607775	89404225.95	-5459.849051	-829	-386.1	38	144	-105.5725581	-33	183.75	973	136.1083864	87.35834902	203.0096515	173.3994048	-1.471699398	4.44266606	30067.35357	17382	2568.548386	2169.32527	978.4259796	0.380925656	0.927003377	0.047350095	0.796606689	1.078744722	61.84349473	18.90518049	12.4234933	0.731036453	0.657147564
R01-003	41746556	45864136.23	-2491.718189	-815	-324.4	106	290	-42.9652568	15	149	1105	129.546935	76.17265741	177.5686668	172.2922463	-1.473730535	4.758522849	29684.61813	6304	1489.746094	1454.589844	696.4045352	0.467465253	0.905796637	0.045734605	0.743176746	1.104000566	51.99534234	16.72349649	11.06808315	0.72078659	0.661828294
R01-004	108485201	92997720.22	-2586.67246	-1024	-501.2	148	366	-74.67937944	21	244	1390	195.4861034	118.7910621	264.8134822	254.0652881	-1.398342176	4.179931414	64549.17063	6399	1945.217641	1326.148376	880.6564127	0.452728987	0.855703068	0.041993639	0.626569524	1.168629677	59.52288327	21.59004611	8.305906406	0.627508051	0.384709989
R01-005	203554331	87142504.87	-101066.307	-783	-154	51	391	-25.89142857	6	59	1174	69.14564468	30.31952988	110.65202	107.5802187	-2.519894329	10.19159396	11573.50346	1730249	8814.812311	7117.235661	2198.097335	0.249364054	0.938813338	0.048257826	0.827442365	1.06517447	98.74399288	27.34892854	18.34744795	0.782423833	0.670865329
R01-006	502393519	299449572.9	-26770.77933	-844	-484	16	88	-173.6790071	-99	312	932	170.2681768	128.7562825	266.948482	202.7241834	-0.966462133	2.950510364	41097.09455	148942	6678.495243	4202.123353	1879.820912	0.281473722	0.912333023	0.04623054	0.759381802	1.096090983	87.95571001	24.63735937	14.7878818	0.804994708	0.600221865
R01-007	122236516	90482213.85	-2384.810993	-955	-477	196	544	-68.20939917	5	320	1499	207.6529303	141.7470172	269.6600588	260.89083	-0.915661583	3.241819666	68064.02516	5355	1444.420784	1244.313976	659.0706812	0.456287176	0.937593565	0.048163807	0.824221339	1.066560221	46.52593623	13.71507236	11.23423858	0.898986663	0.819116245
R01-010	1021007039	858809649.8	-971462.2927	-1007	-72	66	194	4.607845902	30	43	1201	55.39633841	20.28526131	97.9707929	97.86237284	-3.501654298	18.22421421	9577.044017	93410728	118381.4504	89475.40181	12701.02395	0.107288971	0.917982694	0.046660632	0.773576879	1.089345155	225.5000338	63.2057045	44.19516413	0.781776152	0.699227459
R01-011	1126440754	502945527.8	-164183.5971	-850	-377	105	231	-41.90231042	48	173	1081	152.7501462	91.41574431	203.0885207	198.7187551	-1.654398894	4.847194499	39489.14362	2967973	17436.28763	12194.11257	3667.584285	0.210342039	0.886625132	0.044290332	0.696979674	1.127872382	122.4467988	38.42350763	21.89241511	0.62224134	0.569766179
R01-012	85581519897	41841392197	-1848498.984	-1024	-801	-222	214	-573.7517361	-633	260	1238	174.6828336	114.1776984	616.2410389	224.8598749	1.094747553	3.637739352	50561.96335	82060691	146474.2953	110180.539	14126.01322	0.09644022	0.951273636	0.049221752	0.860827996	1.051222237	236.1998224	65.11023978	47.28837259	0.825375037	0.726281653
